"микрофрейм","минимальный контекст на языке"
"острый нож","couteau"
"острый меч","glaive"
"острая сабля","sabre"
"острое лезвие","lame"
"острая коса","faux"
"острые ножницы","ciseaux"
"острая пила","scie"
"острая иголка","aiguille"
"острая стрела","flèche"
"острый коготь","griffe"
"острый кол",""
"острая спица",""
"острая палка",""
"острое копье","lance"
"острый зуб",""
"острый ноготь","ongle"
"острый рог","corne"
"острый нос","nez"
"острый угол","angle"
"острый носок ботинка","bout de la chaussure"
"острая гора","montagne"
"острый локоть","coude"
"острый клюв","bec"
"острый колпак","bonnet"
"острый подбородок","menton"
"острый каблук","talon"
"острая мачта","mât"
"острый шип","épine"
"колючее одеяло","couverture"
"колючая щетина",""
"колючая шерсть","piquant"
"колючий куст","buisson"
"колючий свитер","pull"
"крутой поворот","tournant"
"крутой изгиб",""
"крутая излучина реки",""
"крутой подъем","montée"
"крутой склон","pente"
"крутой берег",""
"крутая гора",""
"четкая линия","ligne"
"четкая фотография","photo"
"резкий контраст",""
"четкая картинка",""
"сильные очки",""
"проницательный человек","homme"
"острый ум","intelligence"
"острый, проницательный взгляд","regard"
"проницательный наблюдатель",""
"умная девочка",""
"умная голова",""
"острый журналист","journaliste"
"острое слово","parole"
"острый язык","langage"
"острое высказывание",""
"острый критик",""
"острое замечание",""
"острая критика",""
"острая статья",""
"острый анекдот",""
"резкий человек","homme"
"резкий взгляд","regard"
"резкое слово","parole"
"резкая реакция",""
"резкая брань",""
"грубый ответ",""
"грубая бесцеремонность",""
"грубый циннизм",""
"строгий закон","loi"
"строгий правитель","régent"
"строгий распорядок",""
"строгое наказание",""
"строгая диета",""
"непоседливый ребенок",""
"узкоспециализированное исследование",""
"узкоспециализированная работа",""
"острый соус","sauce"
"острый вкус","goût"
"острый перец",""
"острое лечо",""
"газированный напиток",""
"газированная вода",""
"резкий звук","son"
"острый визг","cri"
"резкий голос",""
"резкий лай",""
"резкий храп",""
"резкий вкус","goût"
"резкий свет","lumière"
"резкая вспышка","éclat"
"острый блеск",""
"резкая вонь","puanteur"
"резкий запах",""
"высокий звук","son"
"высокая нота","note"
"цвет","couleur"
"синева",""
"оттенок",""
"сильный запах","odeur"
"сильный аромат",""
"яркий свет","lumière"
"яркое солнце",""
"острый слух","ouïe"
"острое зрение","vue"
"хорошие глаза",""
"хорошие уши",""
"острый нюх",""
"острый нос",""
"острое ощущение","sensation"
"острое осознание","concience"
"острое желание","désir"
"острая ревность","jalousie"
"острая зависть",""
"острая обида",""
"острое стремление",""
"острый мороз","froid"
"резкий ветер","vent"
"сильный холод",""
"сильная жара",""
"острая проблема","problème"
"острая нехватка","manque"
"острый вопрос",""
"острая боль","douleur"
"острая жажда","soif"
"острый недосып",""
"острая дрожь",""
"острая слабость",""
"острое воспаление","inflammation"
"острый грипп","grippe"
"острое заболевание",""
"острое расстройство",""
"острый аппендицит",""
"острый конфликт","conflit"
"острый момент","moment"
"острое сопротивление",""
"острый спор",""
"острая перепалка",""
"острое любопытство","curiosité"
"острая наблюдательность","don d'observation"
"острая впечатлительность",""
"острая гордость",""
"резкий подъем","ascension"
"резкий спад","diminution"
"резкий взмах","mouvement"
"резкий вздох","haleine"
"резкое движение",""
"резкий бросок",""
"резкий скачок",""
"быстрый темп","temps"
"быстрый бег",""
