"",""
"лист бумаги","foglio"
"слой","strate"
"ткань","tessuto"
"книга","libro"
"стена","parete"
"столб","palo"
"ствол дерева","tronco"
"ветка","ramo"
"палка","bastone"
"веревка","corda"
"волосы","capelli"
"дудка","piffero"
"песок","sabbia"
"туман","nebbia"
"дождь","pioggia"
"каша","zuppa"
"лес","bosco"
"человек","persona"
"рука","mano"
"нога","gamba"
"палец","dito"
"тесьма","fettuccia"
"доска","asse"
"дорога","strada"
"окно","finestra"
"поле","campo"
"горлышко бутылки","collo della bottiglia"
"коридор","corridoio"
"улица","via"
"труба","tubo"
"юбка","gonna"
"туфля","scarpe"
"комната","stanza"
"кровать","letto"
