"","scharf","spitz"
"нож","G",""
"меч","G",""
"коготь","G",""
"сабля","G",""
"лезвие","",""
"коса","G",""
"ножницы","G",""
"пила","",""
"иголка","G",""
"стрела","G",""
"кол","",""
"спица","G",""
"палка","G",""
"копье","G",""
"зуб","G",""
"ноготь","G",""
"рог","G",""
"нос","","G"
"угол","","G"
"носок ботинка","G",""
"гора","",""
"локоть","G",""
"клюв","G",""
"колпак","",""
"подбородок","","G"
"каблук","G",""
"мачта","",""
"шип","",""
"одеяло","",""
"щетина","",""
"шерсть","",""
"куст","",""
"свитер","",""
"поворот","",""
"изгиб","",""
"подъём","",""
"склон","",""
"берег","",""
"гора","",""
"линия","",""
"фотография","",""
"контраст","",""
"картинка","",""
"очки","",""
"человек","",""
"ум","",""
"взгляд","G",""
"наблюдатель","",""
"голова","",""
"журналист","G",""
"слово","G",""
"язык","",""
"высказывание","",""
"критик","G",""
"замечание","G",""
"критика","G",""
"статья","",""
"анекдот","G",""
"реакция","",""
"брань","",""
"ответ","",""
"бесцеременность","",""
"циннизм","",""
"закон","",""
"правитель","",""
"распорядок","",""
"наказание","",""
"диета","",""
"ребенок","",""
"исследование","",""
"работа","",""
"соус","",""
"вкус","",""
"перец","",""
"лечо","",""
"напиток","",""
"вода","",""
"звук","",""
"визг"," G",""
"голос","",""
"лай","",""
"храп","",""
"свет","",""
"вспышка","",""
"блеск"," G",""
"вонь","",""
"запах","",""
"нота","",""
"цвет","",""
"синева","",""
"оттенок","",""
"аромат","",""
"солнце","",""
"слух","",""
"зрение","",""
"глаза","",""
"уши","",""
"нюх","",""
"нос","",""
"ощущение","",""
"осознание","",""
"желание","",""
"ревность","",""
"зависть","",""
"обида","",""
"стремление","",""
"мороз","",""
"ветер","",""
"холод","",""
"жара","",""
"проблема","",""
"нехватка","",""
"вопрос","",""
"боль","",""
"жажда","",""
"недосып","",""
"дрожь","",""
"слабость","",""
"воспаление","",""
"грипп","",""
"заболевание","",""
"расстройство","",""
"аппендицит","",""
"кофликт","",""
"момент","",""
"сопротивление","G",""
"спор","",""
"перепалка","G",""
"любопытство","G",""
"наблюдательность","G",""
"впечатлительность","",""
"гордость","",""
"спад","",""
"взмах","",""
"вздох","",""
"движение","",""
"бросок","",""
"скачок","",""
"темп","",""
"бег","",""
