"","sharp"
"нож","+, G"
"меч","+, G"
"коготь","+, G"
"сабля","G"
"лезвие","+, G"
"коса","G"
"ножницы","G"
"пила","G"
"иголка","+, G"
"стрела","+, G"
"кол","+, G"
"спица","G"
"палка","G"
"копье","G"
"зуб","+, G"
"ноготь","+, G"
"рог","G"
"нос","+, G"
"угол","G"
"носок ботинка","G"
"гора","G"
"локоть","G"
"клюв","G"
"колпак","G"
"подбородок","+"
"каблук","G"
"мачта",""
"шип","+"
"одеяло",""
"щетина","G"
"шерсть",""
"куст",""
"свитер",""
"поворот","+"
"изгиб","+"
"подъём",""
"склон",""
"берег",""
"гора",""
"линия","+"
"фотография","+"
"контраст","+"
"картинка",""
"очки",""
"человек","+"
"ум","+"
"взгляд","+, G"
"наблюдатель",""
"голова","G"
"журналист","G"
"слово","+, G"
"язык","+, G"
"высказывание","G"
"критик","G"
"замечание","+"
"критика","+, G"
"статья","G"
"анекдот","G"
"реакция","+"
"брань",""
"ответ","+"
"бесцеременность",""
"циннизм",""
"закон",""
"правитель",""
"распорядок",""
"наказание",""
"диета",""
"ребенок",""
"исследование",""
"работа",""
"соус","+"
"вкус","+"
"перец",""
"лечо",""
"напиток",""
"вода",""
"звук","+"
"визг","+, G"
"голос","+"
"лай",""
"храп",""
"свет",""
"вспышка",""
"блеск","G"
"вонь",""
"запах",""
"нота",""
"цвет",""
"синева",""
"оттенок",""
"аромат",""
"солнце",""
"слух",""
"зрение",""
"глаза",""
"уши",""
"нюх",""
"нос",""
"ощущение",""
"осознание",""
"желание",""
"ревность",""
"зависть","G"
"обида",""
"стремление",""
"мороз","G"
"ветер",""
"холод",""
"жара",""
"проблема",""
"нехватка",""
"вопрос",""
"боль",""
"жажда",""
"недосып",""
"дрожь",""
"слабость",""
"воспаление",""
"грипп",""
"заболевание",""
"расстройство",""
"аппендицит",""
"кофликт",""
"момент",""
"сопротивление","G"
"спор","G"
"перепалка","G"
"любопытство",""
"наблюдательность",""
"впечатлительность",""
"гордость","G"
"спад",""
"взмах",""
"вздох",""
"движение",""
"бросок",""
"скачок",""
"темп",""
"бег",""
