"","affilato","tagliente","appuntito","pungente","aguzzo","acuto",""
"инструмент с острым краем"," +"," +"," +"," +"," -/+","",""
""," +"," +"," +"," +"," - / +","",""
""," +"," +"," -"," -"," -","",""
""," +"," +"," -"," -"," -","",""
""," +"," +"," -"," -"," -","",""
"инструмент с острым концом_тонкий"," -"," -"," +"," +"," -","",""
"","  -"," -"," +-"," +"," -","",""
"инструмент с острым концом_не тонкий"," -"," -"," + appuntito - punta острая"," +-"," + сильнее  такой острый, что может убить животное","",""
""," -"," -"," +"," +-"," +","",""
"квази-инструмент_1"," + -"," +"," +"," +"," +"," -",""
""," + -"," "," +"," +-"," +","",""
""," + -",""," +",""," +-","",""
""," -",""," +"," +"," +-","",""
""," +","  -/+"," +"," +"," +- ","",""
""," -/+","  -/+"," +"," +","экспериенцер скорее","",""
"","",""," +"," -+"," -","",""
"","","",""," +","","",""
"квази-инструмент_2","",""," +"," +"," + -","",""
"","",""," +"," ?"," -?","",""
"","",""," ?","","","",""
"","",""," +"," +"," + ?","",""
"","",""," -","","","",""
"","","","","","","",""
"","",""," +"," -+"," -","",""
"","",""," +"," +уколоть"," + сильнее","",""
"части тела ","",""," +"," + уколоть"," + функция странно","",""
"","","","a punta + скорее форма"," + уколоть"," + функция странно","",""
"","affusolato - от fuso",""," ?"," -+"," -","",""
""," -"," -"," +"," -"," -","",""
""," -"," -"," + a punta"," -"," -","",""
"","",""," + a punta"," -"," -","",""
"","","","","","","",""
"","",""," + a punta","","","",""
"","","","","","","",""
"","",""," +?"," -","","",""
"","","","","","","",""
"другие объекты с суж к концу формой","",""," a punta",""," -","",""
"","","","a punta","","","",""
"","","","a punta, appuntito",""," -","",""
"","",""," a punta","","","",""
"","",""," + a punta",""," +","",""
"","","","a punta, -","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","a punta? a V","","","",""
"","","","a punta, ?","","","",""
"","",""," a punta, ?","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"математическое"," - (+колонны - если ооочеь тонкий)"," -"," -"," -"," -"," +",""
"объекты с продолговатой формой"," -"," -"," -"," -"," -","",""
""," + форма","  +"," + берегите детей"," -","  -","",""
"колючие объекты"," -"," -"," -"," +"," -","",""
""," -"," -"," -"," +"," -","",""
"","","",""," +","","",""
"резкий, под острым углом","","","","","","","по-другому stretta"
"","","","","","","",""
"крутой","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"четкий, контрастный"," -","","","","","","по-другому"
""," -","","","","","",""
""," -","","","","","",""
""," -","","","","","",""
""," -","","","","","",""
"тонкий предмет"," -","","","","","",""
""," -","","","","","",""
""," +","","","","","",""
""," +","","","","","",""
"человеческое (пояснять, что значит)"," -"," + резкий"," -"," + колючий характер"," + необщительный, резко отвечает. Да. Spigoloso","",""
""," -"," -"," -"," -"," + aguzzare l'ingegno"," +",""
""," -"," -"," -"," +",""," умный, все сразу понимает",""
""," -"," -"," -",""," -","",""
""," -"," +"," -"," +"," -"," -",""
""," -",""," -","","","",""
""," -"," +"," -"," +",""," -",""
""," -",""," -","","","",""
""," -"," +"," -"," +"," -","",""
""," -"," +",""," +","","",""
""," -","","","","","",""
""," -"," -","","","","",""
""," -","","","","","",""
""," -","","","","","",""
""," -"," -","","","","",""
""," -"," + в плохом смысле, злой взгляд"," -"," +"," -"," ",""
"хорошо функционирующий (о чувствах)"," -"," -"," -"," -",""," +",""
""," -"," -"," -"," -",""," + ",""
""," -","","","",""," -",""
"еда с пряностями","","",""," -","","","piccante"
"","","","","","","",""
"","","","","","","",""
"крепкий (или газированный) напиток","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"эмоции"," -"," -"," -"," -"," -"," -",""
"","","","","",""," -",""
"","","","","","","",""
"","","","","","","",""
"","","","","",""," -?ревность как болезнь",""
"отчетливый","","",""," -","","",""
"","",""," -"," -","","",""
"","",""," -","","","",""
"звуки"," -"," -"," -",""," -","высокий",""
"",""," -"," -"," + высокий, писклявый","","",""
"","","","","",""," +",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"воздействующий на глаза"," -"," -"," -",""," -"," -",""
""," -"," -",""," -","","",""
"","","",""," -","","",""
"воздействующий на нос",""," -"," -"," -"," -"," -",""
"погода"," -",""," -"," + очень сильный"," -"," -",""
"","","","","","","",""
"",""," +- лучше pungente"," -"," +-","","","piccante??+ разница между piccare и pungere"
""," -"," + лучше tagliente"," -"," +- холодный и сильный"," -","",""
"",""," -",""," -","","",""
"",""," -",""," -","","",""
"требующий немедленного разрешения","","","","проблема, которую труно решить, люди не хотят ее решать, обсуждать.",""," -","urgente"
"","","","","","","","urgente"
"","","","","","","",""
"физиология","",""," -"," +"," -"," +",""
"","",""," -","",""," -",""
"","","",""," -",""," -",""
"","","","","","","",""
"","","","","",""," +",""
"","","","","","","",""
"","","","","","","",""
"внезапный","",""," -","","","","brusco ?"
"","","","","","","",""
"быстрый"," -"," -","","",""," -",""
"","","","","","","",""
""," -"," -","","",""," -",""
""," -"," -","","","","",""
"взаимодействия"," -","",""," -","aspro"," +? La fase acuta",""
"","","","","",""," +",""
"","","","","",""," +",""
"","","","","",""," ?",""
"","","","","","","",""
"","","","","",""," +",""
"","","","","","","",""
"качества человека","","","","","","",""
"","","","","","","",""
"изменения","","","","",""," +",""
"","","","","",""," -",""
"","","","","",""," -",""
