"","острый"
"нож","+"
"меч","+"
"коготь","+"
"сабля","+"
"лезвие","+"
"коса","+"
"ножницы","+"
"пила","+"
"иголка","+"
"стрела","+"
"кол","+"
"спица","+"
"палка","+"
"копье","+"
"зуб","+"
"ноготь","+"
"рог","+"
"нос","+"
"угол","+"
"носок ботинка","+"
"гора","+"
"локоть","+"
"клюв","+"
"колпак","+"
"подбородок","+"
"каблук","+"
"мачта","+"
"шип","+"
"одеяло",""
"щетина",""
"шерсть",""
"куст",""
"свитер",""
"поворот",""
"изгиб",""
"подъём",""
"склон",""
"берег",""
"гора",""
"линия",""
"фотография",""
"контраст",""
"картинка",""
"очки",""
"человек",""
"ум","+"
"взгляд","+"
"наблюдатель",""
"голова","+"
"журналист","+"
"слово","+"
"язык","+"
"высказывание","+"
"критик","+"
"замечание","+"
"критика","+"
"статья","+"
"анекдот","+"
"реакция",""
"брань",""
"ответ",""
"бесцеременность",""
"циннизм",""
"закон",""
"правитель",""
"распорядок",""
"наказание",""
"диета",""
"ребенок",""
"исследование",""
"работа",""
"соус","+"
"вкус","+"
"перец","+"
"лечо","+"
"напиток",""
"вода",""
"звук",""
"визг","+"
"голос",""
"лай",""
"храп",""
"свет",""
"вспышка",""
"блеск","+"
"вонь",""
"запах",""
"нота",""
"цвет",""
"синева",""
"оттенок",""
"аромат",""
"солнце",""
"слух","+"
"зрение","+"
"глаза",""
"уши",""
"нюх","+"
"нос",""
"ощущение","+"
"осознание","+"
"желание","+"
"ревность","+"
"зависть","+"
"обида","+"
"стремление","+"
"мороз","+"
"ветер",""
"холод",""
"жара",""
"проблема","+"
"нехватка","+"
"вопрос","+"
"боль","+"
"жажда","+"
"недосып","+"
"дрожь","+"
"слабость","+"
"воспаление","+"
"грипп","+"
"заболевание","+"
"расстройство","+"
"аппендицит","+"
"кофликт","+"
"момент","+"
"сопротивление","+"
"спор","+"
"перепалка","+"
"любопытство","+"
"наблюдательность","+"
"впечатлительность","+"
"гордость","+"
"спад",""
"взмах",""
"вздох",""
"движение",""
"бросок",""
"скачок",""
"темп",""
"бег",""
