"","thin","slim","narrow"
"sheet of paper","+, G","","G"
"dust","+, G","",""
"textile","+, G","",""
"book","+, G","",""
"wall","+, G","","+, G"
"pole","G","","G"
"tree trunk","G","",""
"branch","G","","G"
"stick","","",""
"rope","+, G","",""
"hair","+, G","",""
"pipe","+, G","",""
"sand","+","",""
"fog","+","",""
"rain","G","",""
"porridge","","",""
"forest","G","",""
"person","","+","G"
"hand","+, G","","+, G"
"leg","+","","G"
"finger","+, G","","G"
"braid","+, G","","G"
"plank","G","","+, G"
"road","G","","+, G"
"window","G","","+"
"field","G","","G"
"bottleneck","G","","+, G"
"hallway","","","+, G"
"street","","","+, G"
"trumpet","G","","G"
"skirt","","","+, G"
"shoes","G","","+, G"
"room","","","+, G"
"bed","","","+, G"
